rank,student_id,score,s_score,proportion,grade
486 = 510,312701033,59,660,94.53,B
486 = 510,312900660,59,660,94.53,B
486 = 510,312900454,59,660,94.53,B
486 = 510,312900007,59,660,94.53,B
486 = 510,312400316,59,660,94.53,B
486 = 510,312401401,59,660,94.53,B
486 = 510,312401667,59,660,94.53,B
486 = 510,312401550,59,660,94.53,B
486 = 510,312400946,59,660,94.53,B
486 = 510,312400773,59,660,94.53,B
486 = 510,312800321,59,660,94.53,B
486 = 510,312801760,59,660,94.53,B
486 = 510,312801942,59,660,94.53,B
486 = 510,312503396,59,660,94.53,B
486 = 510,312500386,59,660,94.53,B
486 = 510,312501531,59,660,94.53,B
486 = 510,312502928,59,660,94.53,B
486 = 510,312502808,59,660,94.53,B
486 = 510,312500121,59,660,94.53,B
486 = 510,312501880,59,660,94.53,B
486 = 510,312500348,59,660,94.53,B
511 = 553,312500263,58,657,94.18,B
511 = 553,312501978,58,657,94.18,B
511 = 553,312501585,58,657,94.18,B
511 = 553,312501474,58,657,94.18,B
511 = 553,312502837,58,657,94.18,B
511 = 553,312500424,58,657,94.18,B
511 = 553,312501128,58,657,94.18,B
511 = 553,312501134,58,657,94.18,B
511 = 553,312502633,58,657,94.18,B
511 = 553,312500777,58,657,94.18,B
511 = 553,312801970,58,657,94.18,B
511 = 553,312802089,58,657,94.18,B
511 = 553,312802071,58,657,94.18,B
511 = 553,312801595,58,657,94.18,B
511 = 553,312801373,58,657,94.18,B
511 = 553,312801880,58,657,94.18,B
511 = 553,312800698,58,657,94.18,B
511 = 553,312802342,58,657,94.18,B
511 = 553,312800516,58,657,94.18,B
511 = 553,312802185,58,657,94.18,B
511 = 553,312802251,58,657,94.18,B
511 = 553,312800179,58,657,94.18,B
511 = 553,312800018,58,657,94.18,B
511 = 553,312802351,58,657,94.18,B
511 = 553,312800785,58,657,94.18,B
511 = 553,312800862,58,657,94.18,B
511 = 553,312400784,58,657,94.18,B
511 = 553,312400825,58,657,94.18,B
511 = 553,312401639,58,657,94.18,B
511 = 553,312402218,58,657,94.18,B
511 = 553,312401216,58,657,94.18,B
511 = 553,312900182,58,657,94.18,B
511 = 553,312701022,58,657,94.18,B
511 = 553,312701079,58,657,94.18,B
511 = 553,312700994,58,657,94.18,B
511 = 553,312701424,58,657,94.18,B
511 = 553,312701441,58,657,94.18,B
511 = 553,312700041,58,657,94.18,B
511 = 553,313000844,58,657,94.18,B
511 = 553,313000744,58,657,94.18,B
511 = 553,313000725,58,657,94.18,B
511 = 553,313000730,58,657,94.18,B
511 = 553,313000164,58,657,94.18,B
554 = 594,313000159,57,654,93.79,B
554 = 594,313000075,57,654,93.79,B
554 = 594,312300015,57,654,93.79,B
554 = 594,313102340,57,654,93.79,B
554 = 594,313103222,57,654,93.79,B
554 = 594,313100954,57,654,93.79,B
554 = 594,312700707,57,654,93.79,B
554 = 594,312701213,57,654,93.79,B
554 = 594,312700264,57,654,93.79,B
554 = 594,312900347,57,654,93.79,B
554 = 594,312900654,57,654,93.79,B
554 = 594,312901564,57,654,93.79,B
554 = 594,312401278,57,654,93.79,B
554 = 594,312401425,57,654,93.79,B
554 = 594,312401761,57,654,93.79,B
554 = 594,312401567,57,654,93.79,B
554 = 594,312400898,57,654,93.79,B
554 = 594,312400813,57,654,93.79,B
554 = 594,312402027,57,654,93.79,B
554 = 594,312402032,57,654,93.79,B
554 = 594,312402373,57,654,93.79,B
554 = 594,312800881,57,654,93.79,B
554 = 594,312802354,57,654,93.79,B
554 = 594,312800194,57,654,93.79,B
554 = 594,312800239,57,654,93.79,B
554 = 594,312802140,57,654,93.79,B
554 = 594,312800713,57,654,93.79,B
554 = 594,312800097,57,654,93.79,B
554 = 594,312800080,57,654,93.79,B
554 = 594,312801204,57,654,93.79,B
554 = 594,312801189,57,654,93.79,B
554 = 594,312801948,57,654,93.79,B
554 = 594,312801074,57,654,93.79,B
554 = 594,312801055,57,654,93.79,B
554 = 594,312502652,57,654,93.79,B
554 = 594,312502958,57,654,93.79,B
554 = 594,312503133,57,654,93.79,B
554 = 594,312500085,57,654,93.79,B
554 = 594,312501582,57,654,93.79,B
554 = 594,312501727,57,654,93.79,B
554 = 594,312501736,57,654,93.79,B
595 = 637,312503035,56,651,93.4,B
595 = 637,312501101,56,651,93.4,B
595 = 637,312501167,56,651,93.4,B
595 = 637,312503397,56,651,93.4,B
595 = 637,312503412,56,651,93.4,B
595 = 637,312500004,56,651,93.4,B
595 = 637,312801603,56,651,93.4,B
595 = 637,312801346,56,651,93.4,B
595 = 637,312801812,56,651,93.4,B
595 = 637,312800515,56,651,93.4,B
595 = 637,312802153,56,651,93.4,B
595 = 637,312800439,56,651,93.4,B
595 = 637,312800160,56,651,93.4,B
595 = 637,312800015,56,651,93.4,B
595 = 637,312800850,56,651,93.4,B
595 = 637,312800880,56,651,93.4,B
595 = 637,312401176,56,651,93.4,B
595 = 637,312400717,56,651,93.4,B
595 = 637,312402128,56,651,93.4,B
595 = 637,312401736,56,651,93.4,B
595 = 637,312401796,56,651,93.4,B
595 = 637,312402232,56,651,93.4,B
595 = 637,312401936,56,651,93.4,B
595 = 637,312400261,56,651,93.4,B
595 = 637,312901436,56,651,93.4,B
595 = 637,312900655,56,651,93.4,B
595 = 637,312900649,56,651,93.4,B
595 = 637,312901162,56,651,93.4,B
595 = 637,312901250,56,651,93.4,B
595 = 637,312900124,56,651,93.4,B
595 = 637,312700271,56,651,93.4,B
595 = 637,312701434,56,651,93.4,B
595 = 637,312700754,56,651,93.4,B
595 = 637,312701416,56,651,93.4,B
595 = 637,312700943,56,651,93.4,B
595 = 637,312700841,56,651,93.4,B
595 = 637,312700818,56,651,93.4,B
595 = 637,312701018,56,651,93.4,B
595 = 637,313104455,56,651,93.4,B
595 = 637,312600209,56,651,93.4,B
595 = 637,313000171,56,651,93.4,B
595 = 637,313001200,56,651,93.4,B
