rank,student_id,score,s_score,proportion,grade
618 = 681,312800472,80,673,95.81,B
618 = 681,312500880,80,673,95.81,B
618 = 681,312501736,80,673,95.81,B
618 = 681,312502716,80,673,95.81,B
618 = 681,312503021,80,673,95.81,B
618 = 681,312503094,80,673,95.81,B
618 = 681,312502937,80,673,95.81,B
618 = 681,312502939,80,673,95.81,B
618 = 681,312502821,80,673,95.81,B
618 = 681,312502836,80,673,95.81,B
618 = 681,312501048,80,673,95.81,B
618 = 681,312500435,80,673,95.81,B
618 = 681,312500338,80,673,95.81,B
618 = 681,312500030,80,673,95.81,B
618 = 681,312500187,80,673,95.81,B
618 = 681,313100956,80,673,95.81,B
618 = 681,313100184,80,673,95.81,B
618 = 681,313103370,80,673,95.81,B
618 = 681,313101845,80,673,95.81,B
618 = 681,313102340,80,673,95.81,B
618 = 681,312400867,80,673,95.81,B
618 = 681,312402255,80,673,95.81,B
618 = 681,312401747,80,673,95.81,B
618 = 681,312400104,80,673,95.81,B
618 = 681,312400385,80,673,95.81,B
618 = 681,312901214,80,673,95.81,B
618 = 681,312900639,80,673,95.81,B
618 = 681,312900061,80,673,95.81,B
618 = 681,312901474,80,673,95.81,B
618 = 681,312901035,80,673,95.81,B
618 = 681,313000995,80,673,95.81,B
618 = 681,313000519,80,673,95.81,B
618 = 681,313001096,80,673,95.81,B
618 = 681,312600178,80,673,95.81,B
618 = 681,312800278,80,673,95.81,B
618 = 681,312800160,80,673,95.81,B
618 = 681,312800242,80,673,95.81,B
618 = 681,312800792,80,673,95.81,B
618 = 681,312800838,80,673,95.81,B
618 = 681,312802274,80,673,95.81,B
618 = 681,312801895,80,673,95.81,B
618 = 681,312800474,80,673,95.81,B
618 = 681,312802159,80,673,95.81,B
618 = 681,312802344,80,673,95.81,B
618 = 681,312802164,80,673,95.81,B
618 = 681,312801704,80,673,95.81,B
618 = 681,312801159,80,673,95.81,B
618 = 681,312802036,80,673,95.81,B
618 = 681,312801974,80,673,95.81,B
618 = 681,312801993,80,673,95.81,B
618 = 681,312801055,80,673,95.81,B
618 = 681,312801466,80,673,95.81,B
618 = 681,312800075,80,673,95.81,B
618 = 681,312800254,80,673,95.81,B
618 = 681,312801394,80,673,95.81,B
618 = 681,312801350,80,673,95.81,B
618 = 681,312700184,80,673,95.81,B
618 = 681,312700271,80,673,95.81,B
